FID,INSPIREID,COUNTRY,NATLEVNAME,NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,COD_INE,COD_PROV,NOM_ETIQ,HABITANTES,DENSIDAD,SUP_KM2,CP,SHAPE_Length,SHAPE_Area
342,ES.IGN.SIGLIM34081616161,ES,Municipio,34081616161,Piqueras del Castillo,ES4,ES42,ES423,16161,16,Piqueras del Castillo,53,1.15,45.827807,16188,33564.3171429607,77606519.8911777
343,ES.IGN.SIGLIM34081616158,ES,Municipio,34081616158,El Picazo,ES4,ES42,ES423,16158,16,El Picazo,679,27.3,24.871568,16211,39290.0508816244,41814403.2544361
344,ES.IGN.SIGLIM34081616159,ES,Municipio,34081616159,Pinarejo,ES4,ES42,ES423,16159,16,Pinarejo,213,3.44,61.76514,16622,50640.9226977615,104306758.703525
345,ES.IGN.SIGLIM34081616162,ES,Municipio,34081616162,Portalrubio de Guadamejud,ES4,ES42,ES423,16162,16,Portalrubio de Guadamejud,27,1.28,21.014024,16522,27863.3067483121,36078202.8311369
346,ES.IGN.SIGLIM34081616165,ES,Municipio,34081616165,Poyatos,ES4,ES42,ES423,16165,16,Poyatos,60,1.35,44.327756,16890,35317.595429558,77958961.3212304
347,ES.IGN.SIGLIM34081616166,ES,Municipio,34081616166,Pozoamargo,ES4,ES42,ES423,16166,16,Pozoamargo,290,5.43,53.374107,16708,47380.3021125712,89336779.9524672
348,ES.IGN.SIGLIM34081616167,ES,Municipio,34081616167,Pozorrubio de Santiago,ES4,ES42,ES423,16167,16,Pozorrubio,305,6.87,44.392263,16414,45556.6169728617,75845160.1106064
349,ES.IGN.SIGLIM34081616169,ES,Municipio,34081616169,El Pozuelo,ES4,ES42,ES423,16169,16,El Pozuelo,51,1.23,41.292292,16811,37903.0211903735,71640148.1260041
350,ES.IGN.SIGLIM34081616170,ES,Municipio,34081616170,Priego,ES4,ES42,ES423,16170,16,Priego,920,11.46,80.272446,16800,53953.3500085241,138912181.096469
351,ES.IGN.SIGLIM34081616171,ES,Municipio,34081616171,El Provencio,ES4,ES42,ES423,16171,16,El Provencio,2418,23.93,101.018936,16670,62152.3708148092,169529092.921691
352,ES.IGN.SIGLIM34081616172,ES,Municipio,34081616172,Puebla de Almenara,ES4,ES42,ES423,16172,16,Puebla de Almenara,345,9.18,37.580825,16421,32779.7876684036,63872985.403385
353,ES.IGN.SIGLIM34081616173,ES,Municipio,34081616173,El Valle de Altomira,ES4,ES42,ES423,16173,16,El Valle de Altomira,216,1.46,147.358124,16510,72768.4454304553,253263962.085994
354,ES.IGN.SIGLIM34081616175,ES,Municipio,34081616175,Quintanar del Rey,ES4,ES42,ES423,16175,16,Quintanar del Rey,7589,95.19,79.717803,16220,50073.4000135174,133776999.073814
355,ES.IGN.SIGLIM34081616176,ES,Municipio,34081616176,Rada de Haro,ES4,ES42,ES423,16176,16,Rada de Haro,46,1.43,31.99902,16649,33875.6384529091,54105491.250578
356,ES.IGN.SIGLIM34081616188,ES,Municipio,34081616188,Salmeroncillos,ES4,ES42,ES423,16188,16,Salmeroncillos,100,4.8,20.810516,16813,31169.388065245,35800701.903423
