ORIGEN,FLUJO,SEMANA,0,1,2,3,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,cluster
Albacete,1,1,0,30,60,0,10,40,0,70,0,400,90,0,0,0,10,0,0,0,0,130,50,0,0,0,0,70,250,Cluster 2
Albacete,1,2,0,0,50,0,10,0,0,20,0,160,10,0,0,0,0,0,0,10,0,70,60,0,0,0,0,10,190,Cluster 2
Albacete,1,3,10,10,30,0,0,20,0,40,0,160,50,0,0,0,10,0,0,0,0,70,50,10,0,0,0,30,170,Cluster 2
Albacete,1,4,0,30,60,10,30,0,0,30,0,200,50,0,0,0,0,0,0,0,0,80,40,0,0,0,0,50,280,Cluster 2
Albacete,1,5,0,10,50,0,20,0,0,10,0,160,50,0,0,0,0,0,0,0,0,70,20,0,0,0,0,20,270,Cluster 2
Albacete,1,6,0,20,50,0,20,0,0,10,0,150,90,0,0,0,0,0,0,0,0,80,40,0,0,0,0,20,200,Cluster 2
Albacete,1,7,0,30,40,0,10,0,0,50,0,200,100,0,0,0,0,0,0,0,0,60,40,0,0,0,0,40,230,Cluster 2
Albacete,1,8,0,0,50,0,10,20,0,40,0,160,80,0,0,0,0,0,0,0,0,60,60,10,0,0,0,30,250,Cluster 2
Albacete,1,9,10,10,40,0,10,10,0,10,0,230,50,0,0,0,0,0,0,0,0,130,40,0,0,10,0,30,310,Cluster 2
Albacete,1,10,10,10,40,0,10,0,0,20,0,190,70,0,0,0,0,0,0,10,0,60,90,0,0,0,0,30,200,Cluster 2
Albacete,1,11,0,10,50,0,30,10,0,10,0,210,120,0,0,0,0,0,0,0,0,110,20,0,0,10,0,40,220,Cluster 2
Albacete,1,12,0,20,50,0,30,20,0,20,0,240,40,0,0,0,0,0,0,0,0,100,30,0,0,0,0,40,320,Cluster 2
Albacete,1,13,0,30,60,0,40,20,0,50,0,240,80,0,0,0,0,0,0,0,0,100,30,0,0,0,0,60,370,Cluster 2
Albacete,1,14,0,0,30,0,10,0,0,30,0,220,60,0,0,0,10,0,0,0,0,80,60,0,0,20,0,30,260,Cluster 2
Albacete,1,15,0,0,40,0,10,10,0,30,0,170,60,0,0,0,0,0,0,0,10,70,30,0,0,10,0,40,280,Cluster 2
Albacete,1,16,20,30,60,0,30,20,0,30,0,270,60,0,0,0,10,0,0,10,0,90,110,0,0,0,0,110,330,Cluster 2
Albacete,1,17,0,10,40,0,20,10,0,30,0,310,110,0,0,0,30,0,0,0,0,120,50,0,0,0,0,30,300,Cluster 2
Albacete,1,18,0,20,60,0,30,50,0,60,0,360,100,0,0,0,0,0,0,0,0,120,90,0,0,0,0,40,450,Cluster 2
Albacete,1,19,0,20,30,0,30,20,0,30,0,240,70,0,0,0,10,0,0,0,0,90,40,0,0,0,0,50,320,Cluster 2
Albacete,1,20,0,10,40,0,10,20,0,10,0,230,50,0,0,0,0,0,10,0,0,110,60,0,0,0,0,30,310,Cluster 2
Albacete,1,21,0,20,30,0,20,10,0,10,0,180,120,0,0,0,10,0,0,0,0,70,50,0,0,0,0,40,250,Cluster 2
Albacete,1,22,0,20,60,0,40,40,0,50,0,240,130,0,0,0,0,0,0,0,0,110,110,0,0,0,0,70,390,Cluster 2
Albacete,1,23,0,20,50,0,10,10,0,40,0,170,80,0,0,0,10,0,0,0,0,80,90,0,0,10,0,30,260,Cluster 2
Albacete,1,24,0,40,50,0,10,0,0,30,0,230,120,0,0,0,0,0,0,0,0,70,60,0,0,10,0,10,240,Cluster 2
Albacete,1,25,0,10,60,0,30,10,0,60,0,240,160,0,0,0,10,0,0,0,0,120,120,0,0,20,0,60,370,Cluster 2
Albacete,1,26,0,10,30,0,10,10,0,40,0,190,70,0,0,0,10,0,0,0,0,90,90,0,0,0,0,60,220,Cluster 2
Albacete,1,27,10,20,30,0,0,10,0,20,0,290,90,0,0,0,0,0,0,0,0,70,90,0,0,0,0,10,250,Cluster 2
Albacete,1,28,0,20,30,0,20,20,0,50,0,210,140,0,0,0,0,0,0,0,0,70,50,0,0,10,0,10,360,Cluster 2
Albacete,1,29,0,30,20,0,10,0,0,20,0,250,100,0,0,0,10,0,0,0,0,90,90,0,0,0,0,40,280,Cluster 2
Albacete,1,30,0,20,50,0,0,0,0,20,0,210,120,0,0,0,0,0,0,0,0,80,80,0,0,10,0,30,290,Cluster 2
Albacete,1,31,0,30,40,0,20,10,0,40,0,200,140,0,0,0,0,0,0,0,0,60,90,0,0,0,0,50,240,Cluster 2
Albacete,1,32,0,20,20,0,10,30,0,60,0,270,150,0,0,0,0,0,0,0,0,70,140,0,0,10,0,40,300,Cluster 2
Albacete,1,33,0,40,40,0,20,40,0,80,0,390,230,0,0,0,0,0,0,10,0,110,150,0,0,10,0,60,430,Cluster 2
Albacete,1,34,0,30,20,0,30,10,0,60,0,170,110,0,0,0,0,0,0,0,10,60,100,0,0,0,0,30,270,Cluster 2
Albacete,1,35,0,20,40,10,40,0,0,70,0,180,90,0,0,0,20,0,0,0,0,70,120,0,0,20,0,70,190,Cluster 2
Albacete,1,36,10,30,30,0,20,20,0,30,0,330,70,0,0,0,0,0,0,0,0,60,100,0,0,0,0,20,330,Cluster 2
Albacete,1,37,0,40,50,10,30,20,0,90,0,280,180,0,0,10,0,0,0,0,0,80,110,0,0,0,0,60,320,Cluster 2
Albacete,1,38,0,20,50,0,20,0,0,20,0,260,140,0,0,0,10,0,0,0,0,90,50,0,0,0,0,30,310,Cluster 2
